,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
0,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,10,0.0,16399,579231349848652,6,48.3,385.8303527832031,0.6046868562698364,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,43.3,0.0,0.0,,,C,338427125412553,G,G10
1,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,21,0.0,16399,579231353769847,9,45.7,-314.40350341796875,1.1710712909698486,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,40.7,0.0,0.0,,,C,338427125412553,G,G21
2,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,27,0.0,16399,579231351921542,19,37.9,570.804931640625,0.46700000762939453,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,32.9,0.0,0.0,,,C,338427125412553,G,G27
3,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,32,0.0,16399,579231354380770,6,48.5,279.2655639648437,0.5971868634223938,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.76,43.5,0.0,0.0,,,C,338427125412553,G,G32
25,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,08,0.0,81935,579231355458996,14,27.7,207.6083984375,1.034000039100647,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.6,22.7,-7861.56591796875,6.028573513031006,,,Q,338427125412553,G,G08
26,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,10,0.0,81935,579231349856511,6,35.5,386.85443115234375,0.5550000071525574,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.6,30.5,-7861.56591796875,6.028573513031006,,,Q,338427125412553,G,G10
27,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,27,0.0,81935,579231351929370,14,27.9,569.6426391601562,1.027999997138977,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.6,22.9,-7861.56591796875,6.028573513031006,,,Q,338427125412553,G,G27
28,1713027213426,332431420000000,18,0.0,-1396730000006041643,-0.1352496147155761,15.701487427577376,-34.49754549238822,10.698025679382875,8,32,0.0,81935,579231354388645,20,24.6,280.09423828125,2.072499990463257,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.6,19.6,-7861.56591796875,6.028573513031006,,,Q,338427125412553,G,G32
45,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,08,0.0,16399,579232355450479,106,24.4,211.72073364257807,4.218999862670898,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,19.4,0.0,0.0,,,C,338428126732344,G,G08
46,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,10,0.0,16399,579232349847362,5,50.6,389.1298522949219,0.03300664201378822,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.25,45.6,0.0,0.0,,,C,338428126732344,G,G10
